MostFrequent: 0.703
SVC: {'accuracy': 0.6993950393224441, 'f1': 0.1458152958152958, 'precision': 0.5607142857142857, 'recall': 0.09991596638655462}
catboost: {'accuracy': 0.7167574107683, 'f1': 0.40429629629629626, 'precision': 0.5345804195804196, 'recall': 0.33218487394957985}
catboost (n_estimators=100): {'accuracy': 0.7343012704174228, 'f1': 0.42618566618566617, 'precision': 0.6013986013986015, 'recall': 0.3439495798319328}
RandomForest: {'accuracy': 0.6958257713248639, 'f1': 0.3972922502334267, 'precision': 0.48753246753246754, 'recall': 0.3396638655462185}
RandomForest (n_estimators=100): {'accuracy': 0.7552934059286146, 'f1': 0.5191985536813123, 'precision': 0.6308424908424908, 'recall': 0.4463025210084034}
GaussianProcess: {'accuracy': 0.7378100423472473, 'f1': 0.33170568561872915, 'precision': 0.6714285714285715, 'recall': 0.22478991596638656}
LinearSGD: {'accuracy': 0.6329098608590441, 'f1': 0.43498959749515925, 'precision': 0.4222142515542803, 'recall': 0.5239495798319328}
KNN: {'accuracy': 0.7097398669086509, 'f1': 0.3251549609810479, 'precision': 0.5916666666666667, 'recall': 0.24084033613445383}
MLP: {'accuracy': 0.7307320024198428, 'f1': 0.488668701893854, 'precision': 0.5553733031674208, 'recall': 0.44882352941176473}

Lattices:
Simple: {'accuracy': 0.5664851784633999, 'f1': 0.5071412139735121, 'precision': 0.3830286168521463, 'recall': 0.7559663865546218}
support > confidence: {'accuracy': 0.6995160314579553, 'f1': 0.5196976570790612, 'precision': 0.4920630453138193, 'recall': 0.5547058823529412}
MinSupport 0.5: {'accuracy': 0.2970356926799758, 'f1': 0.45711301767639795, 'precision': 0.2970356926799758, 'recall': 1.0}
MinSupport 0.10: {'accuracy': 0.7099818511796733, 'f1': 0.07105263157894737, 'precision': 0.3, 'recall': 0.040336134453781515}
